,Date,Durable Goods Total
0,1990-01-01,11792.0
1,1990-02-01,11672.333333333334
2,1990-03-01,11552.666666666666
3,1990-04-01,11433.0
4,1990-05-01,11298.0
5,1990-06-01,11163.0
6,1990-07-01,11028.0
7,1990-08-01,11068.333333333334
8,1990-09-01,11108.666666666666
9,1990-10-01,11149.0
10,1990-11-01,11124.0
11,1990-12-01,11099.0
12,1991-01-01,11074.0
13,1991-02-01,11032.333333333334
14,1991-03-01,10990.666666666666
15,1991-04-01,10949.0
16,1991-05-01,11070.666666666666
17,1991-06-01,11192.333333333334
18,1991-07-01,11314.0
19,1991-08-01,11261.333333333334
20,1991-09-01,11208.666666666666
21,1991-10-01,11156.0
22,1991-11-01,11182.0
23,1991-12-01,11208.0
24,1992-01-01,11234.0
25,1992-02-01,11337.333333333334
26,1992-03-01,11440.666666666666
27,1992-04-01,11544.0
28,1992-05-01,11654.666666666666
29,1992-06-01,11765.333333333334
30,1992-07-01,11876.0
31,1992-08-01,11807.333333333334
32,1992-09-01,11738.666666666666
33,1992-10-01,11670.0
34,1992-11-01,11812.0
35,1992-12-01,11954.0
36,1993-01-01,12096.0
37,1993-02-01,12010.666666666666
38,1993-03-01,11925.333333333334
39,1993-04-01,11840.0
40,1993-05-01,12069.0
41,1993-06-01,12298.0
42,1993-07-01,12527.0
43,1993-08-01,12437.333333333334
44,1993-09-01,12347.666666666666
45,1993-10-01,12258.0
46,1993-11-01,12434.0
47,1993-12-01,12610.0
48,1994-01-01,12786.0
49,1994-02-01,12913.0
50,1994-03-01,13040.0
51,1994-04-01,13167.0
52,1994-05-01,13082.333333333334
53,1994-06-01,12997.666666666666
54,1994-07-01,12913.0
55,1994-08-01,12965.666666666666
56,1994-09-01,13018.333333333334
57,1994-10-01,13071.0
58,1994-11-01,13199.0
59,1994-12-01,13327.0
60,1995-01-01,13455.0
61,1995-02-01,13507.666666666666
62,1995-03-01,13560.333333333334
63,1995-04-01,13613.0
64,1995-05-01,13724.0
65,1995-06-01,13835.0
66,1995-07-01,13946.0
67,1995-08-01,13789.333333333334
68,1995-09-01,13632.666666666666
69,1995-10-01,13476.0
70,1995-11-01,13576.0
71,1995-12-01,13676.0
72,1996-01-01,13776.0
73,1996-02-01,14215.666666666666
74,1996-03-01,14655.333333333334
75,1996-04-01,15095.0
76,1996-05-01,15244.666666666666
77,1996-06-01,15394.333333333334
78,1996-07-01,15544.0
79,1996-08-01,15475.333333333334
80,1996-09-01,15406.666666666666
81,1996-10-01,15338.0
82,1996-11-01,15419.666666666666
83,1996-12-01,15501.333333333334
84,1997-01-01,15583.0
85,1997-02-01,15679.0
86,1997-03-01,15775.0
87,1997-04-01,15871.0
88,1997-05-01,16452.666666666668
89,1997-06-01,17034.333333333332
90,1997-07-01,17616.0
91,1997-08-01,17402.333333333332
92,1997-09-01,17188.666666666668
93,1997-10-01,16975.0
94,1997-11-01,16941.333333333332
95,1997-12-01,16907.666666666668
96,1998-01-01,16874.0
97,1998-02-01,16792.333333333332
98,1998-03-01,16710.666666666668
99,1998-04-01,16629.0
100,1998-05-01,17276.0
101,1998-06-01,17923.0
102,1998-07-01,18570.0
103,1998-08-01,18412.0
104,1998-09-01,18254.0
105,1998-10-01,18096.0
106,1998-11-01,18206.33333333333
107,1998-12-01,18316.666666666668
108,1999-01-01,18427.0
109,1999-02-01,18562.33333333333
110,1999-03-01,18697.666666666668
111,1999-04-01,18833.0
112,1999-05-01,18784.666666666668
113,1999-06-01,18736.33333333333
114,1999-07-01,18688.0
115,1999-08-01,18783.33333333333
116,1999-09-01,18878.666666666668
117,1999-10-01,18974.0
118,1999-11-01,19034.0
119,1999-12-01,19094.0
120,2000-01-01,19154.0
121,2000-02-01,19233.666666666668
122,2000-03-01,19313.33333333333
123,2000-04-01,19393.0
124,2000-05-01,19375.33333333333
125,2000-06-01,19357.666666666668
126,2000-07-01,19340.0
127,2000-08-01,19576.0
128,2000-09-01,19812.0
129,2000-10-01,20048.0
130,2000-11-01,20374.0
131,2000-12-01,20700.0
132,2001-01-01,21026.0
133,2001-02-01,21006.0
134,2001-03-01,20986.0
135,2001-04-01,20966.0
136,2001-05-01,21172.33333333333
137,2001-06-01,21378.666666666668
138,2001-07-01,21585.0
139,2001-08-01,21738.666666666668
140,2001-09-01,21892.33333333333
141,2001-10-01,22046.0
142,2001-11-01,22033.0
143,2001-12-01,22020.0
144,2002-01-01,22007.0
145,2002-02-01,21905.666666666668
146,2002-03-01,21804.33333333333
147,2002-04-01,21703.0
148,2002-05-01,21646.666666666668
149,2002-06-01,21590.33333333333
150,2002-07-01,21534.0
151,2002-08-01,21615.33333333333
152,2002-09-01,21696.666666666668
153,2002-10-01,21778.0
154,2002-11-01,21880.666666666668
155,2002-12-01,21983.33333333333
156,2003-01-01,22086.0
157,2003-02-01,22292.666666666668
158,2003-03-01,22499.33333333333
159,2003-04-01,22706.0
160,2003-05-01,22801.33333333333
161,2003-06-01,22896.666666666668
162,2003-07-01,22992.0
163,2003-08-01,22929.0
164,2003-09-01,22866.0
165,2003-10-01,22803.0
166,2003-11-01,23038.33333333333
167,2003-12-01,23273.666666666668
168,2004-01-01,23509.0
169,2004-02-01,23342.33333333333
170,2004-03-01,23175.666666666668
171,2004-04-01,23009.0
172,2004-05-01,23173.666666666668
173,2004-06-01,23338.33333333333
174,2004-07-01,23503.0
175,2004-08-01,23556.666666666668
176,2004-09-01,23610.33333333333
177,2004-10-01,23664.0
178,2004-11-01,23677.0
179,2004-12-01,23690.0
180,2005-01-01,23703.0
181,2005-02-01,23608.33333333333
182,2005-03-01,23513.666666666668
183,2005-04-01,23419.0
184,2005-05-01,23651.33333333333
185,2005-06-01,23883.666666666668
186,2005-07-01,24116.0
187,2005-08-01,24102.0
188,2005-09-01,24088.0
189,2005-10-01,24074.0
190,2005-11-01,24135.0
191,2005-12-01,24196.0
192,2006-01-01,24257.0
193,2006-02-01,24412.666666666668
194,2006-03-01,24568.33333333333
195,2006-04-01,24724.0
196,2006-05-01,24543.0
197,2006-06-01,24362.0
198,2006-07-01,24181.0
199,2006-08-01,24210.666666666668
200,2006-09-01,24240.33333333333
201,2006-10-01,24270.0
202,2006-11-01,24327.33333333333
203,2006-12-01,24384.666666666668
204,2007-01-01,24442.0
205,2007-02-01,24546.666666666668
206,2007-03-01,24651.33333333333
207,2007-04-01,24756.0
208,2007-05-01,24804.666666666668
209,2007-06-01,24853.33333333333
210,2007-07-01,24902.0
211,2007-08-01,25141.33333333333
212,2007-09-01,25380.666666666668
213,2007-10-01,25620.0
214,2007-11-01,25666.0
215,2007-12-01,25712.0
216,2008-01-01,25758.0
217,2008-02-01,25401.666666666668
218,2008-03-01,25045.33333333333
219,2008-04-01,24689.0
220,2008-05-01,24424.666666666668
221,2008-06-01,24160.33333333333
222,2008-07-01,23896.0
223,2008-08-01,23344.33333333333
224,2008-09-01,22792.666666666668
225,2008-10-01,22241.0
226,2008-11-01,22111.0
227,2008-12-01,21981.0
228,2009-01-01,21851.0
229,2009-02-01,22182.666666666668
230,2009-03-01,22514.33333333333
231,2009-04-01,22846.0
232,2009-05-01,23202.33333333333
233,2009-06-01,23558.666666666668
234,2009-07-01,23915.0
235,2009-08-01,24547.33333333333
236,2009-09-01,25179.666666666668
237,2009-10-01,25812.0
238,2009-11-01,25191.33333333333
239,2009-12-01,24570.666666666668
240,2010-01-01,23950.0
241,2010-02-01,23956.33333333333
242,2010-03-01,23962.666666666668
243,2010-04-01,23969.0
244,2010-05-01,23833.33333333333
245,2010-06-01,23697.666666666668
246,2010-07-01,23562.0
247,2010-08-01,23905.666666666668
248,2010-09-01,24249.33333333333
249,2010-10-01,24593.0
250,2010-11-01,24522.666666666668
251,2010-12-01,24452.33333333333
252,2011-01-01,24382.0
253,2011-02-01,24242.666666666668
254,2011-03-01,24103.33333333333
255,2011-04-01,23964.0
256,2011-05-01,23990.0
257,2011-06-01,24016.0
258,2011-07-01,24042.0
259,2011-08-01,24082.666666666668
260,2011-09-01,24123.33333333333
261,2011-10-01,24164.0
262,2011-11-01,24143.33333333333
263,2011-12-01,24122.666666666668
264,2012-01-01,24102.0
265,2012-02-01,24205.0
266,2012-03-01,24308.0
267,2012-04-01,24411.0
268,2012-05-01,24381.0
269,2012-06-01,24351.0
270,2012-07-01,24321.0
271,2012-08-01,24520.666666666668
272,2012-09-01,24720.33333333333
273,2012-10-01,24920.0
274,2012-11-01,24863.666666666668
275,2012-12-01,24807.33333333333
276,2013-01-01,24751.0
277,2013-02-01,25168.666666666668
278,2013-03-01,25586.33333333333
279,2013-04-01,26004.0
280,2013-05-01,26304.33333333333
281,2013-06-01,26604.666666666668
282,2013-07-01,26905.0
283,2013-08-01,26920.0
284,2013-09-01,26935.0
285,2013-10-01,26950.0
286,2013-11-01,27066.666666666668
287,2013-12-01,27183.33333333333
288,2014-01-01,27300.0
289,2014-02-01,27482.0
290,2014-03-01,27664.0
291,2014-04-01,27846.0
292,2014-05-01,27954.33333333333
293,2014-06-01,28062.666666666668
294,2014-07-01,28171.0
295,2014-08-01,28468.33333333333
296,2014-09-01,28765.666666666668
297,2014-10-01,29063.0
298,2014-11-01,28963.0
299,2014-12-01,28863.0
300,2015-01-01,28763.0
301,2015-02-01,29113.0
302,2015-03-01,29463.0
303,2015-04-01,29813.0
304,2015-05-01,30073.666666666668
305,2015-06-01,30334.33333333333
306,2015-07-01,30595.0
307,2015-08-01,30626.33333333333
308,2015-09-01,30657.666666666668
309,2015-10-01,30689.0
310,2015-11-01,31092.0
311,2015-12-01,31495.0
312,2016-01-01,31898.0
313,2016-02-01,31825.0
314,2016-03-01,31752.0
315,2016-04-01,31679.0
316,2016-05-01,31681.666666666668
317,2016-06-01,31684.33333333333
318,2016-07-01,31687.0
319,2016-08-01,31766.0
320,2016-09-01,31845.0
321,2016-10-01,31924.0
322,2016-11-01,32023.33333333333
323,2016-12-01,32122.666666666668
324,2017-01-01,32222.0
325,2017-02-01,31930.0
326,2017-03-01,31638.0
327,2017-04-01,31346.0
328,2017-05-01,31671.33333333333
329,2017-06-01,31996.666666666668
330,2017-07-01,32322.0
331,2017-08-01,32544.0
332,2017-09-01,32766.0
333,2017-10-01,32988.0
334,2017-11-01,32927.0
335,2017-12-01,32866.0
336,2018-01-01,32805.0
337,2018-02-01,32783.666666666664
338,2018-03-01,32762.33333333333
339,2018-04-01,32741.0
340,2018-05-01,32780.333333333336
341,2018-06-01,32819.666666666664
342,2018-07-01,32859.0
343,2018-08-01,33334.333333333336
344,2018-09-01,33809.666666666664
345,2018-10-01,34285.0
346,2018-11-01,34621.666666666664
347,2018-12-01,34958.333333333336
348,2019-01-01,35295.0
349,2019-02-01,35695.0
350,2019-03-01,36095.0
351,2019-04-01,36495.0
352,2019-05-01,36291.333333333336
353,2019-06-01,36087.66666666666
354,2019-07-01,35884.0
355,2019-08-01,35501.0
356,2019-09-01,35118.0
357,2019-10-01,34735.0
358,2019-11-01,33744.666666666664
359,2019-12-01,32754.33333333333
360,2020-01-01,31764.0
361,2020-02-01,29802.666666666668
362,2020-03-01,27841.33333333333
363,2020-04-01,25880.0
364,2020-05-01,30226.666666666668
365,2020-06-01,34573.333333333336
366,2020-07-01,38920.0
367,2020-08-01,37877.66666666666
368,2020-09-01,36835.333333333336
369,2020-10-01,35793.0
370,2020-11-01,34516.0
371,2020-12-01,33239.0
372,2021-01-01,31962.0
373,2021-02-01,34056.333333333336
374,2021-03-01,36150.66666666666
375,2021-04-01,38245.0
0,2021-04-30,32380.509765625
1,2021-05-31,32517.7421875
2,2021-06-30,32627.779296875
3,2021-07-31,32723.75390625
4,2021-08-31,32798.96875
5,2021-09-30,32864.90625
6,2021-10-31,32904.9375
7,2021-11-30,32935.6015625
8,2021-12-31,32944.77734375
9,2022-01-31,32945.1875
10,2022-02-28,32916.8515625
11,2022-03-31,32866.234375
12,2022-04-30,32825.0078125
13,2022-05-31,32791.375
14,2022-06-30,32781.70703125
15,2022-07-31,32837.43359375
16,2022-08-31,32930.515625
17,2022-09-30,33045.64453125
18,2022-10-31,33184.02734375
19,2022-11-30,33335.921875
20,2022-12-31,33486.2578125
21,2023-01-31,33621.953125
22,2023-02-28,33770.6015625
23,2023-03-31,33934.71484375
