,Date,House Price Index
0,1990-01-01,30.55
1,1990-02-01,30.55
2,1990-03-01,30.55
3,1990-04-01,30.28
4,1990-05-01,30.28
5,1990-06-01,30.28
6,1990-07-01,30.83
7,1990-08-01,30.83
8,1990-09-01,30.83
9,1990-10-01,30.37
10,1990-11-01,30.37
11,1990-12-01,30.37
12,1991-01-01,29.94
13,1991-02-01,29.94
14,1991-03-01,29.94
15,1991-04-01,29.82
16,1991-05-01,29.82
17,1991-06-01,29.82
18,1991-07-01,30.4
19,1991-08-01,30.4
20,1991-09-01,30.4
21,1991-10-01,30.12
22,1991-11-01,30.12
23,1991-12-01,30.12
24,1992-01-01,29.64
25,1992-02-01,29.64
26,1992-03-01,29.64
27,1992-04-01,28.93
28,1992-05-01,28.93
29,1992-06-01,28.93
30,1992-07-01,29.02
31,1992-08-01,29.02
32,1992-09-01,29.02
33,1992-10-01,27.91
34,1992-11-01,27.91
35,1992-12-01,27.91
36,1993-01-01,28.05
37,1993-02-01,28.05
38,1993-03-01,28.05
39,1993-04-01,28.28
40,1993-05-01,28.28
41,1993-06-01,28.28
42,1993-07-01,28.88
43,1993-08-01,28.88
44,1993-09-01,28.88
45,1993-10-01,28.34
46,1993-11-01,28.34
47,1993-12-01,28.34
48,1994-01-01,28.65
49,1994-02-01,28.65
50,1994-03-01,28.65
51,1994-04-01,29.05
52,1994-05-01,29.05
53,1994-06-01,29.05
54,1994-07-01,29.53
55,1994-08-01,29.53
56,1994-09-01,29.53
57,1994-10-01,29.33
58,1994-11-01,29.33
59,1994-12-01,29.33
60,1995-01-01,29.08
61,1995-02-01,29.08
62,1995-03-01,29.08
63,1995-04-01,29.39
64,1995-05-01,29.39
65,1995-06-01,29.39
66,1995-07-01,29.64
67,1995-08-01,29.64
68,1995-09-01,29.64
69,1995-10-01,29.25
70,1995-11-01,29.25
71,1995-12-01,29.25
72,1996-01-01,29.67
73,1996-02-01,29.67
74,1996-03-01,29.67
75,1996-04-01,29.7
76,1996-05-01,29.7
77,1996-06-01,29.7
78,1996-07-01,30.87
